"","word","absolute.freqency","relative.frequency"
"health","health",3366,0.24634074941452
"twitter","twitter",2719,0.198990046838407
"com","com",2688,0.19672131147541
"counti","counti",2088,0.152810304449649
"pic","pic",1710,0.125146370023419
"today","today",1260,0.0922131147540984
"day","day",1193,0.087309718969555
"depart","depart",1114,0.0815281030444965
"help","help",823,0.0602312646370023
"flu","flu",757,0.0554010538641686
"public","public",716,0.0524004683840749
"nation","nation",697,0.0510099531615925
"clinic","clinic",685,0.0501317330210773
"week","week",678,0.0496194379391101
"food","food",645,0.0472043325526932
"new","new",634,0.0463992974238876
"walk","walk",634,0.0463992974238876
"locat","locat",622,0.0455210772833724
"know","know",611,0.0447160421545667
"month","month",601,0.0439841920374707
"vaccin","vaccin",588,0.0430327868852459
"time","time",587,0.0429596018735363
"take","take",578,0.0423009367681499
"healthi","healthi",577,0.0422277517564403
"prevent","prevent",574,0.0420081967213115
"learn","learn",568,0.0415690866510539
"make","make",531,0.0388612412177986
"wic","wic",530,0.038788056206089
"check","check",524,0.0383489461358314
"communiti","communiti",504,0.0368852459016393
"tip","tip",503,0.0368120608899297
"safe","safe",500,0.0365925058548009
"offic","offic",488,0.0357142857142857
"call","call",485,0.0354947306791569
"need","need",481,0.0352019906323185
"year","year",472,0.0345433255269321
"close","close",468,0.0342505854800937
"mchenri","mchenri",468,0.0342505854800937
"free","free",467,0.0341774004683841
"protect","protect",452,0.03307962529274
"recal","recal",451,0.0330064402810304
"test","test",423,0.0309572599531616
"famili","famili",420,0.0307377049180328
"one","one",419,0.0306645199063232
"illinoi","illinoi",386,0.0282494145199063
"tomorrow","tomorrow",378,0.0276639344262295
"smoke","smoke",375,0.0274443793911007
"great","great",373,0.0272980093676815
"cancer","cancer",371,0.0271516393442623
"thank","thank",368,0.0269320843091335
"emerg","emerg",367,0.0268588992974239
"awar","awar",362,0.0264929742388759
"quit","quit",362,0.0264929742388759
"come","come",361,0.0264197892271663
"plan","plan",357,0.0261270491803279
"school","school",350,0.0256147540983607
"pleas","pleas",347,0.0253951990632319
"risk","risk",346,0.0253220140515222
"diseas","diseas",343,0.0251024590163934
"immun","immun",339,0.024809718969555
"home","home",338,0.0247365339578454
"may","may",336,0.0245901639344262
"join","join",335,0.0245169789227166
"now","now",332,0.0242974238875878
"shot","shot",330,0.0241510538641686
"open","open",326,0.0238583138173302
"find","find",325,0.0237851288056206
"keep","keep",319,0.023346018735363
"visit","visit",310,0.0226873536299766
"servic","servic",300,0.0219555035128806
"avail","avail",299,0.021882318501171
"inform","inform",297,0.0217359484777518
"way","way",296,0.0216627634660422
"heart","heart",295,0.0215895784543326
"don","don",293,0.0214432084309133
"work","work",293,0.0214432084309133
"care","care",291,0.0212968384074941
"center","center",290,0.0212236533957845
"water","water",290,0.0212236533957845
"peopl","peopl",289,0.0211504683840749
"safeti","safeti",288,0.0210772833723653
"program","program",287,0.0210040983606557
"holiday","holiday",280,0.0204918032786885
"children","children",276,0.0201990632318501
"like","like",274,0.0200526932084309
"see","see",272,0.0199063231850117
"offer","offer",270,0.0197599531615925
"live","live",268,0.0196135831381733
"start","start",268,0.0196135831381733
"well","well",264,0.0193208430913349
"marion","marion",259,0.0189549180327869
"prepar","prepar",256,0.0187353629976581
"kid","kid",255,0.0186621779859485
"due","due",252,0.0184426229508197
"virus","virus",251,0.0183694379391101
"women","women",251,0.0183694379391101
"monday","monday",247,0.0180766978922717
"import","import",246,0.0180035128805621
"activ","activ",243,0.0177839578454333
"local","local",240,0.0175644028103044
"diabet","diabet",236,0.017271662763466
"support","support",233,0.0170521077283372
"american","american",232,0.0169789227166276
"event","event",232,0.0169789227166276
"good","good",231,0.016905737704918
"happi","happi",228,0.0166861826697892
"tobacco","tobacco",228,0.0166861826697892
"weather","weather",228,0.0166861826697892
"stay","stay",226,0.01653981264637
"product","product",224,0.0163934426229508
"hiv","hiv",222,0.0162470725995316
"look","look",217,0.0158811475409836
"cdc","cdc",216,0.015807962529274
"prepared","prepared",215,0.0157347775175644
"share","share",214,0.0156615925058548
"video","video",214,0.0156615925058548
"child","child",213,0.0155884074941452
"want","want",213,0.0155884074941452
"first","first",211,0.015442037470726
"post","post",211,0.015442037470726
"sure","sure",210,0.0153688524590164
"caus","caus",208,0.0152224824355972
"friday","friday",208,0.0152224824355972
"season","season",208,0.0152224824355972
"lead","lead",207,0.0151492974238876
"provid","provid",207,0.0151492974238876
"staff","staff",207,0.0151492974238876
"high","high",206,0.015076112412178
"age","age",205,0.0150029274004684
"april","april",205,0.0150029274004684
"mosquito","mosquito",205,0.0150029274004684
"benton","benton",204,0.0149297423887588
"drive","drive",204,0.0149297423887588
"dupag","dupag",204,0.0149297423887588
"park","park",204,0.0149297423887588
"appoint","appoint",203,0.0148565573770492
"medic","medic",202,0.0147833723653396
"photo","photo",195,0.0142710772833724
"late","late",194,0.0141978922716628
"meet","meet",192,0.0140515222482436
"nurs","nurs",192,0.0140515222482436
"celebr","celebr",191,0.013978337236534
"just","just",191,0.013978337236534
"follow","follow",187,0.0136855971896955
"mental","mental",187,0.0136855971896955
"chicago","chicago",185,0.0135392271662763
"news","news",185,0.0135392271662763
"report","report",185,0.0135392271662763
"facebook","facebook",182,0.0133196721311475
"talk","talk",180,0.0131733021077283
"zika","zika",178,0.0130269320843091
"part","part",176,0.0128805620608899
"dupagecounti","dupagecounti",175,0.0128073770491803
"everi","everi",175,0.0128073770491803
"info","info",174,0.0127341920374707
"march","march",174,0.0127341920374707
"state","state",174,0.0127341920374707
"life","life",170,0.0124414519906323
"volunt","volunt",169,0.0123682669789227
"issu","issu",168,0.0122950819672131
"get","get",167,0.0122218969555035
"readi","readi",167,0.0122218969555035
"screen","screen",167,0.0122218969555035
"eat","eat",166,0.0121487119437939
"train","train",163,0.0119291569086651
"west","west",163,0.0119291569086651
"posit","posit",162,0.0118559718969555
"sign","sign",162,0.0118559718969555
"juli","juli",161,0.0117827868852459
"drug","drug",160,0.0117096018735363
"case","case",159,0.0116364168618267
"chipublichealth","chipublichealth",159,0.0116364168618267
"fact","fact",159,0.0116364168618267
"stop","stop",159,0.0116364168618267
"tonight","tonight",157,0.0114900468384075
"http","http",155,0.0113436768149883
"insur","insur",155,0.0113436768149883
"back","back",152,0.0111241217798595
"friend","friend",151,0.0110509367681499
"rememb","rememb",150,0.0109777517564403
"still","still",149,0.0109045667447307
"via","via",149,0.0109045667447307
"possibl","possibl",148,0.0108313817330211
"enrol","enrol",146,0.0106850117096019
"nphw","nphw",146,0.0106850117096019
"cook","cook",145,0.0106118266978923
"save","save",145,0.0106118266978923
"septemb","septemb",145,0.0106118266978923
"januari","januari",142,0.0103922716627635
"parent","parent",142,0.0103922716627635
"resid","resid",142,0.0103922716627635
"watch","watch",142,0.0103922716627635
"improv","improv",141,0.0103190866510539
"let","let",141,0.0103190866510539
